drg_34_code,label
20,0
22,1
23,2
24,3
25,4
26,5
27,6
39,7
54,8
57,9
65,10
70,11
71,12
85,13
86,14
100,15
131,16
155,17
163,18
164,19
165,20
166,21
167,22
176,23
177,24
180,25
184,26
188,27
189,28
190,29
193,30
194,31
199,32
202,33
207,34
208,35
217,36
220,37
221,38
227,39
229,40
234,41
235,42
236,43
247,44
250,45
251,46
252,47
261,48
266,49
270,50
283,51
287,52
291,53
292,54
293,55
299,56
301,57
303,58
307,59
308,60
312,61
314,62
315,63
326,64
327,65
335,66
345,67
353,68
356,69
371,70
372,71
374,72
375,73
377,74
378,75
381,76
388,77
389,78
391,79
392,80
393,81
395,82
405,83
406,84
418,85
420,86
423,87
432,88
441,89
442,90
443,91
458,92
460,93
477,94
480,95
494,96
571,97
603,98
628,99
629,100
638,101
640,102
641,103
644,104
682,105
683,106
696,107
743,108
802,109
809,110
821,111
834,112
838,113
840,114
846,115
853,116
854,117
856,118
862,119
864,120
866,121
870,122
871,123
872,124
880,125
881,126
885,127
894,128
896,129
897,130
908,131
918,132
919,133
939,134
956,135
957,136
981,137
982,138
983,139
987,140
988,141
